label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
2003,1,1,0,0,0,0,0,0,0,0,0,
2005,1,0,0,0,0,0,1,0,0,0,0,
2006,7,1,0,0,0,0,4,0,2,0,0,
2007,6,0,0,0,0,2,2,1,1,0,0,
2008,11,3,0,0,0,0,2,5,1,0,0,
2009,15,5,0,0,0,1,2,5,1,1,0,
2010,18,5,0,1,1,2,2,4,3,0,0,
2011,27,3,0,1,0,8,5,4,4,2,0,
2012,66,11,0,2,0,12,18,14,8,1,0,
2013,198,15,5,3,3,49,38,32,39,13,1,
2014,373,31,16,10,14,81,75,73,56,12,5,
2015,366,26,10,14,23,107,87,52,35,10,2,
